,NAME,INTEREST,Date,Oil (BBLS),Gas (MCF),Water (BBLS),NET
0,AARON #1,0.19288545,8/25/2021,70.14,0.0,23.38,13.528985463000001
1,ANIKEN #1,0.12557333,8/25/2021,6.81,0.0,0.0,0.8551543773
2,ANNPICK #1,0.20935298,8/25/2021,0.0,0.0,0.0,0.0
3,BARRIER #1,0.1672317,8/25/2021,0.0,139.04,0.0,0.0
4,BEELER RANCH #1,0.18975557,8/25/2021,0.0,4.04,25.05,0.0
5,BERMUDA #1,0.27060998,8/25/2021,0.0,0.0,0.0,0.0
6,BIG SONNY #1,0.18861,8/25/2021,0.0,5.0,13.12,0.0
7,BLACKMON #1,0.16646403,8/25/2021,0.0,0.0,0.0,0.0
8,BLAS REYES #1,0.11817298,8/25/2021,3.34,177.86,9.36,0.39469775319999995
9,BOND #1,0.20470922,8/25/2021,0.0,0.0,0.0,0.0
10,BRANTON #1,0.26124227,8/25/2021,2.67,0.0,0.0,0.6975168609
11,CANNAN #1,0.08608316,8/25/2021,15.89,263.13,73.48,1.3678614124000001
12,CAROLPICK #1,0.2400948,8/25/2021,0.0,30.82,0.0,0.0
13,CAROLYN #1,0.24064177,8/25/2021,0.0,0.14,1.41,0.0
14,CENIZO #1,0.24064177,8/25/2021,50.1,0.0,2.34,12.056152677
15,CHAD #1,0.2400948,8/25/2021,6.68,19.51,49.84,1.603833264
16,CHARLES B #1,0.1677021,8/25/2021,0.0,0.0,0.0,0.0
17,CIRCLE T #1,0.11742874,8/25/2021,8.68,0.0,0.0,1.0192814632
18,CROSS S #1,0.21090304,8/25/2021,0.0,0.0,0.0,0.0
19,CT #1,0.27713209,8/25/2021,200.04,526.49,0.0,55.437503283599995
20,DALE #1,0.18956299,8/25/2021,10.02,0.0,5.85,1.8994211597999997
21,DIAL #1,0.1195237,8/25/2021,0.0,0.0,0.0,0.0
22,DILLARD #1,0.17524573,8/25/2021,0.0,100.08,0.0,0.0
23,DUNKLE #2,0.13398129,8/25/2021,18.37,0.0,0.0,2.4612362973
24,DUNLAP #1,0.19368165,8/25/2021,0.0,0.0,0.0,0.0
25,DYESS #1,0.20150916,8/25/2021,10.02,0.0,0.0,2.0191217831999997
26,EILEEN #1,0.26770432,8/25/2021,0.0,1.71,49.84,0.0
27,EVERGREEN #1,0.16427776,8/25/2021,0.0,0.0,3.34,0.0
28,FLOWER #1,0.19496392,8/25/2021,18.37,2.94,6.68,3.5814872104000006
29,GAIL #1,0.2400948,8/25/2021,0.0,0.0,0.0,0.0
30,GIL #1,0.22217094,8/25/2021,0.0,0.0,0.0,0.0
31,GRISSOM #1,0.26763059,8/25/2021,0.0,0.0,0.0,0.0
32,J BEELER #1,0.13929115,8/25/2021,35.07,0.0,65.13,4.8849406305
33,JESSICA #1,0.2400948,8/25/2021,0.0,24.4,0.0,0.0
34,JJ #1,0.1686517,8/25/2021,111.86,0.0,1.43,18.865379162
35,JOE #1,0.09405226,8/25/2021,0.0,0.0,8.09,0.0
36,JOSEPH #1,0.27177158,8/25/2021,0.0,0.0,0.0,0.0
37,JRED #1,0.2400948,8/25/2021,11.35,0.0,0.0,2.7250759799999997
38,KAY #1,0.18215702,8/25/2021,104.86,552.26,5.01,19.1009851172
39,KILEY #1,0.2400948,8/25/2021,3.34,0.0,36.74,0.801916632
40,KINCAID #1,0.2642343,8/25/2021,1.67,0.0,58.19,0.44127128099999996
41,KIRBY #1,0.24874207,8/25/2021,0.0,0.0,0.0,0.0
