partner,Date,Casey,Casey,CML,CML,IDC,IDC,Jason,Jason,Ken,Ken,LAN MLN,LAN MLN,Patterson,Patterson,Phil,Phil,Travis,Travis
ownership,,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS
0,2006-03-05,0.0,0.0,1.7231935600000001,0.0,27.525752649999998,0.0,0.0,0.0,4.734573800000001,0.0,21.35532223,0.0,8.566257700000001,0.0,9.005546,0.0,0.0,0.0
1,2006-03-06,0.0,0.0,0.81203248,0.66202648,12.971192499999999,10.57503625,0.0,0.0,34.94976296,28.493525960000003,25.379518779999998,20.69118403,63.23455684,51.55329634,8.10699176,6.60939476,0.0,0.0
2,2006-03-07,0.0,0.0,1.8278999599999999,1.00424658,29.19835045,16.04156325,0.0,0.0,45.710157960000004,37.962673560000006,41.69956026999999,28.92477273,82.70332434000001,68.68581174,14.35696136,9.40490886,0.0,0.0
3,2006-03-08,0.0,0.0,2.0611311299999997,0.9193463900000001,32.9239081,14.68538675,0.0,0.0,43.29982948,31.678602880000003,43.16167771,25.040142439999997,78.34232042000001,57.31605152,15.21558293,8.246767029999999,0.0,0.0
4,2006-03-09,0.0,0.0,1.08204328,0.8900356,17.28427375,14.21719375,0.0,0.0,46.57098956,38.307006200000004,33.818521329999996,27.81745285,84.26082574,69.3088123,10.80266636,8.8857422,0.0,0.0
5,2006-03-10,0.0,0.0,1.3700548,1.10204408,21.88489375,17.603761249999998,0.0,0.0,58.966964600000004,47.431821160000005,42.82012405,34.443632629999996,106.6888459,85.81832714000001,13.6780526,11.00234596,0.0,0.0
6,2006-03-11,0.0,0.0,1.62406496,1.2400496,25.942384999999998,19.808225,0.0,0.0,69.89952592,53.3715592,50.759037559999996,38.7569006,126.46911368,96.5650868,16.21398352,12.3801352,0.0,0.0
7,2006-03-12,0.0,0.0,1.50006,1.24604984,23.9615625,19.904071249999998,0.0,0.0,64.56237,53.629808680000004,46.8833475,38.94443399,116.812605,97.03233722,14.97597,12.44003908,0.0,0.0
8,2006-03-13,0.0,0.0,1.6100644,1.25205008,25.718743749999998,19.9999175,0.0,0.0,69.29694380000001,53.88805816000001,50.32145965,39.13196738,125.37886270000001,97.49958764,16.0742078,12.49994296,0.0,0.0
9,2006-03-14,0.0,0.0,1.48805952,1.2400496,23.769869999999997,19.808225,0.0,0.0,64.04587104000001,53.3715592,46.50828072,38.7569006,115.87810416,96.5650868,14.85616224,12.3801352,0.0,0.0
10,2006-03-15,0.0,0.0,1.5360614400000001,1.1800472,24.53664,18.849762499999997,0.0,0.0,66.11186688000001,50.7890644,48.00854784,36.8815667,119.61610752000001,91.89258260000001,15.33539328,11.7810964,0.0,0.0
11,2006-03-16,0.0,0.0,1.53206128,1.150046,24.4727425,18.37053125,0.0,0.0,65.93970056,49.497817000000005,47.88352558,35.94389975,119.30460724000001,89.5563305,15.29545736,11.481577,0.0,0.0
12,2006-03-17,0.0,0.0,1.65406616,1.1600464,26.42161625,18.530275,0.0,0.0,71.19077332,49.9282328,51.696704509999996,36.2564554,128.80536578000002,90.3350812,16.51350292,11.5814168,0.0,0.0
13,2006-03-18,0.0,0.0,1.54606184,1.150046,24.69638375,18.37053125,0.0,0.0,66.54228268,49.497817000000005,48.32110349,35.94389975,120.39485822,89.5563305,15.43523308,11.481577,0.0,0.0
14,2006-03-19,0.0,0.0,1.43405736,1.1600464,22.90725375,18.530275,0.0,0.0,61.721625720000006,49.9282328,44.82048021,36.2564554,111.67285038,90.3350812,14.31702732,11.5814168,0.0,0.0
15,2006-03-20,0.0,0.0,1.5600624,1.16604664,24.920025,18.626121249999997,0.0,0.0,67.14486480000001,50.18648228,48.7586814,36.44398879,121.48510920000001,90.80233162,15.575008799999999,11.64132068,0.0,0.0
16,2006-03-21,0.0,0.0,1.56806272,1.17204688,25.047819999999998,18.721967499999998,0.0,0.0,67.48919744,50.44473176,49.008725919999996,36.63152218,122.10810976,91.26958204,15.65488064,11.70122456,0.0,0.0
17,2006-03-22,0.0,0.0,1.50006,1.18204728,23.9615625,18.88171125,0.0,0.0,64.56237,50.87514756,46.8833475,36.94407783,116.812605,92.04833274,14.97597,11.80106436,0.0,0.0
18,2006-03-23,0.0,0.0,1.5200608,1.17404696,24.281049999999997,18.75391625,0.0,0.0,65.4232016,50.530814920000005,47.5084588,36.69403331,118.37010640000001,91.42533218000001,15.1756496,11.72119252,0.0,0.0
19,2006-03-24,0.0,0.0,1.69206768,1.19204768,27.028642499999997,19.041455,0.0,0.0,72.82635336,51.30556336,52.88441598,37.25663348,131.76461844000002,92.82708344000001,16.89289416,11.90090416,0.0,0.0
20,2006-03-25,0.0,0.0,1.61406456,1.17404696,25.782641249999998,18.75391625,0.0,0.0,69.46911012000001,50.530814920000005,50.446481909999996,36.69403331,125.69036298,91.42533218000001,16.11414372,11.72119252,0.0,0.0
21,2006-03-26,0.0,0.0,1.48405936,1.18604744,23.705972499999998,18.945608749999998,0.0,0.0,63.873704720000006,51.047313880000004,46.38325846,37.06910009,115.56660388,92.35983302000001,14.81622632,11.84100028,0.0,0.0
22,2006-03-27,0.0,0.0,1.42805712,1.1800472,22.811407499999998,18.849762499999997,0.0,0.0,61.46337624,50.7890644,44.63294682,36.8815667,111.20559996,91.89258260000001,14.257123439999999,11.7810964,0.0,0.0
23,2006-03-28,0.0,0.0,1.47805912,1.17204688,23.610126249999997,18.721967499999998,0.0,0.0,63.61545524,50.44473176,46.19572507,36.63152218,115.09935346,91.26958204,14.75632244,11.70122456,0.0,0.0
24,2006-03-29,0.0,0.0,1.48405936,1.18604744,23.705972499999998,18.945608749999998,0.0,0.0,63.873704720000006,51.047313880000004,46.38325846,37.06910009,115.56660388,92.35983302000001,14.81622632,11.84100028,0.0,0.0
25,2006-03-30,0.0,0.0,1.51606064,1.1400456,24.217152499999997,18.2107875,0.0,0.0,65.25103528000001,49.067401200000006,47.38343654,35.6313441,118.05860612000001,88.77757980000001,15.13571368,11.3817372,0.0,0.0
26,2006-03-31,0.0,0.0,1.550062,1.18604744,24.76028125,18.945608749999998,0.0,0.0,66.714449,51.047313880000004,48.44612575,37.06910009,120.70635850000001,92.35983302000001,15.475169,11.84100028,0.0,0.0
27,2006-04-01,0.0,0.0,1.45605824,1.18204728,23.258689999999998,18.88171125,0.0,0.0,62.668540480000004,50.87514756,45.50810264,36.94407783,113.38610192,92.04833274,14.53667488,11.80106436,0.0,0.0
28,2006-04-02,0.0,0.0,1.33405336,0.64202568,21.309816249999997,10.255548749999999,0.0,0.0,57.417467720000005,27.632694360000002,41.69492371,20.06607273,103.88534338000001,49.99579494,13.31862932,6.40971516,0.0,0.0
29,2006-04-03,0.0,0.0,1.50006,1.19604784,23.9615625,19.1053525,0.0,0.0,64.56237,51.47772968,46.8833475,37.38165574,116.812605,93.13858372,14.97597,11.94084008,0.0,0.0
