well_id,well_name,date,oil,gas,water
4035.007,Aaron #1,1/1/2020,124.4,0,131.7
4035.004,Aniken #1,1/1/2020,0,0,0
3855.014,Anna Louisa #1,1/1/2020,0,0,20
9450.003,Annpick #1,1/1/2020,8.4,13,0
6725.001,Barrier #1,1/1/2020,0,3,0
4035.006,Beeler Ranch #1,1/1/2020,36.7,103,131.7
9750.002,Bermuda #1,1/1/2020,0,0,0
9555.005,Big Sonny #1,1/1/2020,0,0,0
9455.008,Blackmon #1,1/1/2020,20.5,144,28.1
9555.001,Blas Reyes #1,1/1/2020,3.3,426,0
7450.004,Bond #1,1/1/2020,0,0,0
9125.001,CT #1,1/1/2020,334.1,1057,3.3
3850.001,Cannan #1,1/1/2020,34,107,0
9455.003,Carolpick #1,1/1/2020,25,105,1.7
3855.012,Carolyn #1,1/1/2020,36.7,0,15
3855.002,Cenizo #1,1/1/2020,40.1,0,0
9455.011,Chad #1,1/1/2020,0,40,0
6725.002,Charles B #1,1/1/2020,30.1,13,40.1
8350.001,Circle T #1,1/1/2020,29.5,0,0
1825.005,Cross S #1,1/1/2020,0,0,0
9455.005,Dale #1,1/1/2020,0,0,0
3850.04,Dial #1,1/1/2020,0,0,0
9555.002,Dillard #1,1/1/2020,0,9,11.7
3850.026,Dunkle #2,1/1/2020,18.4,0,3.3
8650.009,Dunlap #1,1/1/2020,0,45,0
9450.001,Dyess #1,1/1/2020,0,0,0
9455.007,Eileen #1,1/1/2020,58.6,256,68.2
8350.01,Evergreen #1,1/1/2020,11.4,0,0
9450.006,Flower #1,1/1/2020,5,90,48.4
9455.009,Gail #1,1/1/2020,40.1,154,113.3
8350.003,Gil #1,1/1/2020,4.5,102,1.7
1825.006,Grissom #1,1/1/2020,0,0,0
3850.016,Huber #1,1/1/2020,0,0,0
8045.005,J Beeler #1,1/1/2020,295.4,527,239.7
8045.004,JJ #1,1/1/2020,524.4,834,133.3
9455.001,Jessica #1,1/1/2020,26.2,223,2.3
3850.015,Joe #1,1/1/2020,0,0,0
9455.014,Joseph #1,1/1/2020,6.7,0,24.8
5825.002,Jred #1,1/1/2020,4.5,0,0
3855.016,Kay #1,1/1/2020,231.9,0,0
9455.002,Kiley #1,1/1/2020,92,297,50.1
3855.003,Kirby #1,1/1/2020,5,0,1.7
3855.015,Kleimann #1,1/1/2020,429.5,632,126.9
3855.022,Kleimann #3,1/1/2020,0,0,0
3855.022,LT #1,1/1/2020,1.7,0,1.7
3855.017,La Rosita #1 ,1/1/2020,0,35,0
9455.012,Lackey Five #1,1/1/2020,437.9,0,0
7450.006,Lander #1,1/1/2020,43.4,456,110.2
3850.011,Leary Trust #1,1/1/2020,1.7,0,0
4025.002,Marguerite #1,1/1/2020,6.9,1,46.5
4025.002,Marpick #1,1/1/2020,5,4,6.7
3855.024,McLean #1,1/1/2020,2.3,0,3.3
9750.001,Molak #1,1/1/2020,0,0,0
3925.001,Montemayor #1,1/1/2020,0,0,0
8350.009,Moreland #1,1/1/2020,0,0,5
3855.001,PC #1,1/1/2020,13.4,95,18.4
3855.006,Palm #1,1/1/2020,77.2,995,131.7
3855.011,Parkway #1,1/1/2020,6.1,73,0
3855.009,Pecan Grove #1,1/1/2020,0,0,13.9
4035.003,Pfeiffer #1,1/1/2020,15,0,2.3
9450.002,Pickens #1,1/1/2020,0,14,0
9455.013,Pickens Weaver #1,1/1/2020,73.5,153,23.4
9450.008,Pickwill #1,1/1/2020,10,32,22.2
3855.004,Preston #1,1/1/2020,8.4,342,25
7125.002,Rhodes #1,1/1/2020,6.7,0,5
4035.005,Richard #1,1/1/2020,68.6,19,77.3
8650.008,Richardson #1,1/1/2020,0,0,0
9450.011,Ronald #1,1/1/2020,9.5,0,18.1
9555.004,Russell #1,1/1/2020,0,90,0
8650.007,Ruth #1,1/1/2020,0,0,0
9455.004,Ruthpick #1,1/1/2020,13.4,48,0
1825.002,Solansky #1,1/1/2020,11.7,0,0
8650.004,Sugarland #1,1/1/2020,0,0,0
8350.006,Thalmann #1,1/1/2020,0,124,0
3850.003,Thompson #1,1/1/2020,4.5,0,4.7
3850.005,Thompson #2,1/1/2020,15,71,10
3850.012,Tlapek #1,1/1/2020,13.4,0,3.3
3850.006,Triple J #2,1/1/2020,15.9,0,0
8650.006,Trotter #1,1/1/2020,0,0,0
3855.01,Vermillion #1,1/1/2020,6.7,54,38.4
8650.005,Verna #1,1/1/2020,0,0,0
3855.008,White Marlin #1,1/1/2020,0,0,0
3855.013,Whittington #1,1/1/2020,5,0,5
4035.007,Aaron #1,1/2/2020,96.4,41,58.2
4035.004,Aniken #1,1/2/2020,0,0,0
3855.014,Anna Louisa #1,1/2/2020,0,0,51.8
9450.003,Annpick #1,1/2/2020,3.3,22,5
6725.001,Barrier #1,1/2/2020,0,0,0
4035.006,Beeler Ranch #1,1/2/2020,33.2,97,126.7
9750.002,Bermuda #1,1/2/2020,0,0,0
9555.005,Big Sonny #1,1/2/2020,0,0,0
9455.008,Blackmon #1,1/2/2020,83.5,115,23.4
9555.001,Blas Reyes #1,1/2/2020,1.7,350,0
7450.004,Bond #1,1/2/2020,0,0,0
9125.001,CT #1,1/2/2020,332.7,1027,6.7
3850.001,Cannan #1,1/2/2020,29.5,38,0
9455.003,Carolpick #1,1/2/2020,3.3,131,0
3855.012,Carolyn #1,1/2/2020,36.2,0,18.1
3855.002,Cenizo #1,1/2/2020,1.3,0,0
9455.011,Chad #1,1/2/2020,0,17,0
6725.002,Charles B #1,1/2/2020,36.7,7,49.8
8350.001,Circle T #1,1/2/2020,20.4,0,0
1825.005,Cross S #1,1/2/2020,0,0,0
9455.005,Dale #1,1/2/2020,0.4,0,0
3850.04,Dial #1,1/2/2020,0,0,0
9555.002,Dillard #1,1/2/2020,1.7,25,9.8
3850.026,Dunkle #2,1/2/2020,33.4,0,0
