NAME,Date,Oil (BBLS),Gas (MCF)
AARON #1,9/3/2019,110,68
ANIKEN #1,9/3/2019,5,0
ANNA LOUISA #1,9/3/2019,0,0
ANNPICK #1,9/3/2019,0,0
BARRIER #1,9/3/2019,0,35
BEELER RANCH #1,9/3/2019,39,129
BERMUDA #1,9/3/2019,3,0
BIG SONNY #1,9/3/2019,0,0
BLACKMON #1,9/3/2019,35,135
BLAS REYES #1,9/3/2019,0,241
BOND #1,9/3/2019,0,0
CT #1,9/3/2019,740,471
CANNAN #1,9/3/2019,42,109
CAROLPICK #1,9/3/2019,0,31
CAROLYN #1,9/3/2019,50,0
CENIZO #1,9/3/2019,47,0
CHAD #1,9/3/2019,35,67
CHARLES B #1,9/3/2019,13,6
CIRCLE T #1,9/3/2019,5,0
CROSS S #1,9/3/2019,9,0
DALE #1,9/3/2019,20,138
DIAL #1,9/3/2019,0,0
DILLARD #1,9/3/2019,0,141
DUNKLE #2,9/3/2019,22,0
DUNLAP #1,9/3/2019,0,0
DYESS #1,9/3/2019,0,5
EVERGREEN #1,9/3/2019,0,0
FLOWER #1,9/3/2019,0,16
GAIL #1,9/3/2019,30,0
GIL #1,9/3/2019,0,43
GRISSOM #1,9/3/2019,0,0
HUBER #1,9/3/2019,0,0
J BEELER #1,9/3/2019,646,1189
JJ #1,9/3/2019,974,1189
JESSICA #1,9/3/2019,35,238
JOE #1,9/3/2019,5,0
JOSEPH #1,9/3/2019,7,0
JRED #1,9/3/2019,9,0
KAY #1,9/3/2019,241,60
KILEY #1,9/3/2019,0,0
KIRBY #1,9/3/2019,5,194
KLEIMANN #1,9/3/2019,521,111
LT #1,9/3/2019,7,0
LA ROSITA #1,9/3/2019,5,34
LANDER #1,9/3/2019,0,860
LEARY TRUST #1,9/3/2019,7,0
MARGUERITE #1,9/3/2019,0,4
MARPICK #1,9/3/2019,22,8
MCLEAN #1,9/3/2019,0,0
MOLAK #1,9/3/2019,0,0
MONTEMAYOR #1,9/3/2019,5,0
MORELAND #1,9/3/2019,16,0
PC #1,9/3/2019,27,50
PALM #1,9/3/2019,293,1492
PARKWAY #1,9/3/2019,1040,1076
PECAN GROVE #1,9/3/2019,0,0
PFEIFFER #1,9/3/2019,28,0
PICKENS #1,9/3/2019,8,1
PICKENS WEAVER #1,9/3/2019,102,214
PICKWILL #1,9/3/2019,10,27
PRESTON #1,9/3/2019,7,354
RHODES #1,9/3/2019,5,0
RICHARD #1,9/3/2019,35,69
RICHARDSON #1,9/3/2019,0,29
RONALD #1,9/3/2019,0,0
RUSSELL #1,9/3/2019,0,35
RUTH #1,9/3/2019,0,0
RUTHPICK #1,9/3/2019,37,44
SOLANSKY #1,9/3/2019,0,0
SUGARLAND #1,9/3/2019,3,0
THALMANN #1,9/3/2019,3,0
THOMPSON #1,9/3/2019,0,0
THOMPSON #2,9/3/2019,10,70
TLAPEK #1,9/3/2019,0,0
TRIPLE J #2,9/3/2019,5,0
TROTTER #1,9/3/2019,13,0
VERMILLION #1,9/3/2019,0,0
VERNA #1,9/3/2019,0,0
WHITE MARLIN #1,9/3/2019,0,0
WHITTINGTON #1,9/3/2019,10,0
