,0
5,AARON #1
6,AB PAD 10 STATE #1
7,ABENAKI 10 STATE #1
8,ABENAKI 10 STATE #2
9,ABENAKI 10 STATE #3
316,AMERICAN BRECO #1
409,AMERICAN BRECO #3X-D
10,ANIKEN #1
11,ANN #1
12,ANNA LOUISA #1
13,ANNPICK #1
14,BARRIER #1
15,BAUGH 1H
16,BAYOU ROUGE UNIT A 1H
17,BAYOU ROUGE UNIT B ZAV 1H
18,BAYOU ROUGE UNIT C ZAV 1H
19,BAYOU ROUGE UNIT G ZAV 1H
20,BAYOU ROUGE UNIT I ZAV 1H
21,BEAL #1
22,BEAMS 15 STATE #1
23,BEAMS 15 STATE #2
24,BEAMS 15 STATE #3
25,BEAMS 15 STATE #4
26,BEAMS 15 STATE #5
27,BECK UNIT 1
407,BEELER #1
28,BEELER #1H
29,BEELER 2H
317,BEELER 3H
318,BEELER 4H
319,BEELER 5ST
320,BEELER 6H
321,BEELER 7H
322,BEELER 8H
30,BEELER RANCH #1
410,BEELER UNIT A #9H
31,BEELER UNIT A 9H
411,BEELER UNIT C #20H
32,BEELER UNIT C 20H
412,BEELER UNIT D #16H
33,BEELER UNIT D 16H
413,BEELER UNIT E #17H
34,BEELER UNIT E 17H
414,BEELER UNIT F #19H
35,BEELER UNIT F 19H
415,BEELER UNIT H #26H
36,BEELER UNIT H 26H
37,BENGE #1H
383,BENGE #8
38,BERETTA #1
39,BERMUDA #1
40,BETTY #1
41,BETTY WILSON IH
42,BIG SONNY #1
43,BLACKMON #1
44,BLACKMON UNIT 1H
45,BLAIR - TXL #1
46,BLAIR - TXL #3
323,BLAIR - TXL NO 6
47,BLAIR TXL #7-2
416,"BLAIR-TXL #3, #4 AND #6"
48,BLAS REYES #1
417,BLAS-REYES #1
49,BOND #1
418,BOOTH 3RE
50,BOOTH BEELER 9RE
419,BOOTH UNIT #5RE
51,BOOTH UNIT 5RE
52,BOOTH W 2RE
53,BOOTH WEAVER 1RE
54,BOUGAINVILLEA 33 STATE #1
324,BOX #1
55,BRADSHAW #1
56,BRANTON #1
57,BROTHERS HORIZON #1
58,BROTHERS HORIZON UNIT #1
59,BRUCE WEAVER 1RE
325,BRUCE WEAVER 2H
326,BRUMLEY #1
327,BRUMLEY #2
328,BRUMLEY #3
329,BRUMLEY #4
330,BRUMLEY #5
331,BRUMLEY #6
60,BUCHANAN #1
332,BULLARD #5
333,BULLARD #6
334,BULLARD #7
335,BULLARD #8
336,BULLARD #9
61,CALDWELL #1
62,CAMERON 22 ST #1
63,CAMP 1H
64,CANNAN #1
65,CAROLPICK #1
66,CAROLYN #1
67,CARPENTER #1
68,CARROLL #1
69,CENIZO #1
70,CHAD #1
71,CHARLES B #1
72,CHRISTOPHER #1
73,CIRCLE T #1
74,CK #1
384,CK#1
75,COCKBURN B STATE #2
76,COFFMAN #1
337,CORNETT #1 SWD
77,CORRAL CANYON FEDERAL #1H
78,CORRAL CANYON FEDERAL #3H
79,CORRAL CANYON FEDERAL #4H
0,CR 201
1,CR 301
